file,beads,fsc.med,fsc.low,fsc.high,d1.med,d1.low,d1.high,d2.med,d2.high,d2.low
740_caldata/2017-02-21_740_coastal_1um.evt,3150,37920,37296,38368,35152,32891.6,37380.4,35296,38468.4,32891.6
740_caldata/2017-02-21_740_oligo_0.3um.evt,1689,8160,6896,9456,8928,3654.4,11244.8,8128,12121.6,3043.2
740_caldata/2017-02-21_740_oligo_0.5um.evt,3832,30256,29424,31123.6,22688,18144,26656,22592,27760,18432
740_caldata/2017-02-21_740_oligo_0.75um.evt,2495,42784,41232,43744,32064,30192,34864,32096,35300.8,30373.6
740_caldata/2017-02-21_740_oligo_1um.evt,2038,49152,48334.8,49696,34880,33182.8,37200,35408,37936,34016
740_caldata/2017-02-21_740_oligo_3.1um.evt,596,54848,54208,55554,50320,47744,52352,50512,53620,49066
740_caldata/2017-02-21_740_oligo_5.7um.evt,91,61296,61060,61536,56512,54080,59832,56672,60180,55748
740_caldata/2017-02-22_740_coastal_0.5um.evt,2129,19568,18752,20368,22352,18611.2,25824,22288,26748.8,18496
740_caldata/2017-02-22_740_coastal_0.75um.evt,5105,32496,31024,33232,31664,29664,34624,31712,35008,29920
740_caldata/2017-02-22_740_coastal_1.83um.evt,1982,45440,43696,46711.6,47248,43433.2,50640,47424,51655.6,43408
740_caldata/2017-02-22_740_coastal_3.1um.evt,709,45344,44534.4,46096,50864,47819.2,53424,50752,54432,49259.2
740_caldata/2017-02-22_740_coastal_5.7um.evt,87,51648,51348.8,51869.6,56032,54067.2,59117.6,56448,60492,55442.4
740_caldata/2017-02-22_740_oligo_1.83um.evt,784,55184,53433.2,56470.8,46912,43088,49632,47136,50930,43131.6
