"file","i","n","fsc","chl","ssc","pe","inst","Bead.Size..um.","regime","Bead.Events","Volume..ul.","beads..ul","X","abundance"
"740_0.3um_oligo.fcs","beads",58719,21,1,52,5,740,0.3,"oligo",58728,102.44,573.2916829,NA,573.203826630223
"740_0.51um_coastal.fcs","beads",16388,9,1,55,2,740,0.5,"coastal",16397,53.51,306.4287049,NA,306.260512053822
"740_0.51um_oligo.fcs","beads",40155,171,1,109,6,740,0.51,"oligo",40140,110.66,362.7326947,NA,362.868245075005
"740_0.75um_coastal.fcs","beads",10418,65,1,121,24,740,0.7,"coastal",10624,66.87,158.8754299,NA,155.794825781367
"740_0.75um_oligo.fcs","beads",14896,54,2,362,90,740,0.75,"oligo",14955,101.44,147.4270505,NA,146.845425867508
"740_1.83um_coastal.fcs","beads",5053,154,50,5693,1915,740,1.83,"coastal",5153,78.11,65.97106644,NA,64.6908206375624
"740_1.83um_oligo.fcs","beads",9685,607,29,2391,506,740,1.83,"oligo",9940,116.15,85.57899268,NA,83.383555746879
"740_1um_coastal.fcs","beads",44526,16,4,601,193,740,1,"coastal",44638,103.02,433.2945059,NA,432.207338380897
"740_1um_oligo.fcs","beads",11987,61,4,585,193,740,1,"oligo",12066,150.71,80.06104439,NA,79.5368588680247
"740_3.1um_coastal.fcs","beads",4985,18,97,5904,3600,740,3.1,"coastal",5110,360.05,14.19247327,NA,13.8452992639911
"740_3.1um_oligo.fcs","beads",5744,113,94,5520,3542,740,3.1,"oligo",5856,338.65,17.29218958,NA,16.9614646390078
"740_5.7um_coastal.fcs","beads",5120,148,1288,8974,9999,740,5.7,"coastal",5182,900.27,5.756050962,NA,5.68718273406867
"740_5.7um_oligo.fcs","beads",2527,229,1245,8954,9999,740,5.7,"oligo",4555,530.62,8.584297614,NA,4.76235347329539
"751_0.18_oligo.fcs","beads",315399,13,1,23,2,751,0.18,"oligo",294005,37.07,7931.076342,NA,8508.20070137578
"751_0.3_oligo.fcs","beads",123917,136,1,40,6,751,0.3,"oligo",123660,51.52,2400.232919,NA,2405.22127329193
"751_0.3um_coastal.fcs","beads",11881,29,1,40,6,751,0.3,"coastal",11910,51.63,230.6798373,NA,230.118148363355
"751_0.51um_coastal.fcs","beads",20186,9,1,98,7,751,0.51,"coastal",20262,56.32,359.765625,NA,358.416193181818
"751_0.51um_oligo.fcs","beads",40100,73,1,100,8,751,0.51,"oligo",40087,75.54,530.6724914,NA,530.844585649987
"751_0.75_coastal.fcs","beads",11241,35,2,281,104,751,0.753,"coastal",11236,52.99,212.0400075,NA,212.134364974523
"751_0.753um_oligo.fcs","beads",21893,494,2,288,107,751,0.753,"oligo",22199,100.55,220.7757335,NA,217.73247140726
"751_1.83_coastal.fcs","beads",7699,125,48,4631,993,751,1.83,"coastal",7847,53.52,146.6180867,NA,143.852765321375
"751_1.83_oligo.fcs","beads",16375,3561,49,4791,2190,751,1.83,"oligo",16697,51.81,322.2736923,NA,316.058675931287
"751_1um_coastal.fcs","beads",5292,39,4,540,219,751,1,"coastal",5358,67.35,79.5545657,NA,78.5746102449889
"751_1um_oligo.fcs","beads",14828,1162,4,544,225,751,1,"oligo",15070,100.54,149.8905908,NA,147.483588621444
"751_3.1_coastal.fcs","beads",5234,940,95,4513,3959,751,3.1,"coastal",5319,149.24,35.64057893,NA,35.0710265344412
"751_3.1um_oligo.fcs","beads",8595,3932,95,4567,3998,751,3.1,"oligo",8781,183.56,47.83721944,NA,46.8239267814339
"751_5.7_coastal.fcs","beads",4829,1836,1255,8343,9999,751,5.7,"coastal",4831,351.02,13.76274856,NA,13.7570508802917
"751_5.7_oligo.fcs","beads",1500,3566,1259,8388,9999,751,5.7,"oligo",4272,192.34,22.21066861,NA,7.79868982011022
"989_0.3um_coastal.fcs","beads",15256,28,18,27,2,989,0.3,"coastal",19130,52.44,364.7978642,NA,290.922959572845
"989_0.3um_oligo.fcs","beads",37034,36,1,31,2,989,0.3,"oligo",44726,54.82,815.8701204,NA,675.556366289675
"989_0.5um_coastal.fcs","beads",7644,15,15,60,2,989,0.5,"coastal",10935,59.68,183.2272118,NA,128.083109919571
"989_0.5um_oligo.fcs","beads",25127,6,1,66,2,989,0.5,"oligo",28256,59.2,477.2972973,NA,424.442567567568
"989_0.75um_coastal.fcs","beads",7834,21,8,170,26,989,0.75,"coastal",7934,102.72,77.23909657,NA,76.2655763239875
"989_0.75um_oligo.fcs","beads",10421,40,1,201,31,989,0.75,"oligo",10546,58.47,180.3659997,NA,178.228151188644
"989_1.0um_coastal.fcs","beads",8113,101,3,377,63,989,1,"coastal",10153,197.2,51.48580122,NA,41.1409736308316
"989_1.0um_oligo.fcs","beads",9841,126,3,469,79,989,1,"oligo",10206,155.19,65.76454668,NA,63.4125910174625
"989_1.83um_coastal.fcs","beads",10174,53,12,2863,606,989,1.83,"coastal",10593,116.81,90.68572896,NA,87.098707302457
"989_1.83um_oligo.fcs","beads",7036,132,35,3497,729,989,1.83,"oligo",7523,401.65,18.73023777,NA,17.5177393252832
"989_3.1um_coastal.fcs","beads",7165,61,21,3103,948,989,3.1,"coastal",8178,150.57,54.31360829,NA,47.5858404728698
"989_3.1um_oligo.fcs","beads",11914,153,58,3976,1203,989,3.1,"oligo",12575,165.36,76.04620223,NA,72.0488630865989
"989_5.7um_coastal.fcs","beads",5541,854,859,8221,9999,989,5.7,"coastal",8033,481.86,16.67081725,NA,11.4991906362844
"989_5.7um_oligo.fcs","beads",9655,462,998,8834,9999,989,5.7,"oligo",13695,393.29,34.82163289,NA,24.5493147550154
